ID,Occurred,At,A/C,Station,Flight No,ATA
12185,2021-01-02,18:59:00,Avión 1,PIQ,NT421,77-00
12194,2021-01-03,20:15:00,Avión 2,PDQ,NT312,33-49
12210,2021-01-04,14:13:00,Avión 3,PDQ,NT158,52-42
12200,2021-01-04,06:50:00,Avión 3,PIQ,414,25-65
12217,2021-01-05,07:33:00,Avión 4,PIQ,,33-00
12229,2021-01-06,07:32:00,Avión 5,PDQ,NT106,21-00
12274,2021-01-08,14:57:00,Avión 6,PDQ,,24-00
12276,2021-01-08,17:47:00,Avión 1,PDQ,NT311,27-50
12268,2021-01-08,08:27:00,Avión 7,PIQ,,34-57
12266,2021-01-08,08:04:00,Avión 5,PDQ,106,21-00
12290,2021-01-09,16:52:00,Avión 8,PDQ,NT224,31-60
12295,2021-01-10,06:54:00,Avión 9,PIQ,,30-31
12296,2021-01-10,07:12:00,Avión 5,,NT500,21-00
12321,2021-01-11,19:38:00,Avión 10,HOR,NT516,34-13
12339,2021-01-12,16:34:00,Avión 11,PDQ,220,80-00
12334,2021-01-12,11:40:00,Avión 12,,NT5601,UNK
12325,2021-01-12,07:20:00,Avión 9,FNC,NT933,24-31
12368,2021-01-14,14:22:00,Avión 13,PDQ,NT106,35-24
12377,2021-01-14,19:08:00,Avión 13,FNC,NT932,24-23
12374,2021-01-14,16:18:00,Avión 14,PDQ,NT673,12-37
12393,2021-01-15,19:10:00,Avión 5,PIQ,NT179,12-11
12423,2021-01-16,20:08:00,Avión 11,PDQ,234,25-65
12430,2021-01-17,18:42:00,Avión 4,TER,NT224,26-16
12420,2021-01-17,11:12:00,Avión 7,PIQ,NT195,72-00
12443,2021-01-18,08:39:00,Avión 11,PDQ,NT205,23-31
12450,2021-01-18,13:45:00,Avión 3,PDQ,NT304,23-51
12472,2021-01-18,18:15:00,Avión 3,,NT530,23-51
12473,2021-01-19,08:17:00,Avión 11,PDQ,NT236,24-47
12491,2021-01-20,06:30:00,Avión 9,PIQ,106,75-00
12499,2021-01-20,15:31:00,Avión 11,PIQ,NT135,05-51
12492,2021-01-20,09:53:00,Avión 6,VGO,NT5230,27-50-00
12513,2021-01-21,12:19:00,Avión 15,,,24-51
12533,2021-01-22,13:42:00,Avión 7,PIQ,420,25-65
12536,2021-01-22,16:31:00,Avión 16,PIQ,,77-00
12571,2021-01-23,17:00:00,Avión 5,,NT623,UNK
12549,2021-01-23,14:08:00,Avión 17,PIQ,,52-31
12559,2021-01-24,11:36:00,Avión 17,SMA,617,52-31
12560,2021-01-24,07:55:00,Avión 18,,NT655,25-65
12573,2021-01-25,10:38:00,Avión 6,PMI,NT5100,27-50
12602,2021-01-26,16:10:00,Avión 19,PIQ,,UNK
12596,2021-01-26,07:00:00,Avión 14,,NT200,24-00
12608,2021-01-27,07:45:00,Avión 4,PDQ,205,UNK
12636,2021-01-29,06:39:00,Avión 16,PIQ,NT606,33-51
12639,2021-01-29,09:48:00,Avión 7,PIQ,659,00-00
12695,2021-02-02,07:03:00,Avión 6,PDQ,,27-00
12738,2021-02-03,07:10:00,Avión 20,,NT414,05-20
12746,2021-02-04,17:04:00,Avión 11,PDQ,,24-42
26296,2021-02-05,19:00:00,Avión 20,,,
12782,2021-02-07,06:37:00,Avión 21,PDQ,NT153,25-65
12780,2021-02-07,11:45:00,Avión 13,,NT501,77-13
12794,2021-02-08,07:56:00,Avión 22,PDQ,,25-64
12809,2021-02-08,18:52:00,Avión 21,PDQ,NT366,00-00
12813,2021-02-08,19:44:00,Avión 8,PIQ,484,05-51
12795,2021-02-08,07:47:00,Avión 4,PDQ,NT192,35-31
12844,2021-02-09,17:36:00,Avión 16,SMA,NT636,26-15
12854,2021-02-10,17:00:00,Avión 23,,NT170,72-00
12849,2021-02-10,09:45:00,Avión 10,SMA,,25-81
12860,2021-02-11,08:25:00,Avión 16,PDQ,504,25-65
12857,2021-02-11,08:01:00,Avión 13,PDQ,504,57-42
12868,2021-02-11,13:52:00,Avión 23,,NT606,34-58
12890,2021-02-12,17:41:00,Avión 10,PDQ,170,
12912,2021-02-15,07:40:00,Avión 14,PDQ,NT192,12-12
12934,2021-02-16,16:17:00,Avión 10,,NT471,31-60
12923,2021-02-16,08:05:00,Avión 14,PDQ,107,
12960,2021-02-18,08:49:00,Avión 13,PIQ,NT107,05-51
12979,2021-02-18,19:10:00,Avión 16,PIQ,NT6341,56-11
12983,2021-02-19,06:39:00,Avión 2,PIQ,452,28-25
12995,2021-02-20,15:00:00,Avión 10,TER,NT420,27-11
13007,2021-02-21,14:12:00,Avión 17,PIQ,NT662,35-31
13006,2021-02-21,10:08:00,Avión 2,PIQ,TN422,52-31
13024,2021-02-22,19:08:00,Avión 22,PDQ,NT1811,25-00
13038,2021-02-23,14:30:00,Avión 19,,NT511,80-00
13034,2021-02-23,18:10:00,Avión 20,PDQ,NT366,34-00
13061,2021-02-25,06:43:00,Avión 20,PIQ,,34-00
13064,2021-02-25,08:21:00,Avión 1,PDQ,,24-66
13083,2021-02-26,09:07:00,Avión 2,PIQ,NT607,52-31
13131,2021-02-28,14:50:00,Avión 4,PIQ,NT631,28-25
13130,2021-02-28,14:36:00,Avión 21,PDQ,NT158,34-58
13160,2021-03-02,07:08:00,Avión 10,,605,25-65
13182,2021-03-03,15:38:00,Avión 3,PIQ,,38-32
13203,2021-03-04,18:41:00,Avión 2,PDQ,NT228,28-25
13228,2021-03-05,17:38:00,Avión 7,PDQ,NT170,73-35
13224,2021-03-05,15:25:00,Avión 5,PIQ,NT135,72-00
13253,2021-03-07,16:44:00,Avión 17,PIQ,NT471,21-23
13247,2021-03-07,07:22:00,Avión 5,,NT106,72-00
13294,2021-03-10,13:59:00,Avión 12,PIQ,NT5861,73-21
13332,2021-03-12,15:05:00,Avión 9,PIQ,650,61-21
13336,2021-03-12,15:43:00,Avión 2,,NT644,28-25
13346,2021-03-13,07:58:00,Avión 18,PDQ,NT128,32-11
13348,2021-03-13,10:50:00,Avión 3,,NT212,05-20
13415,2021-03-17,17:40:00,Avión 1,,,12-37
13406,2021-03-17,06:45:00,Avión 10,PIQ,NT485,29-00
13420,2021-03-18,08:48:00,Avión 5,,NT102,52-00
13449,2021-03-20,08:37:00,Avión 17,PDQ,NT102,25-60
13469,2021-03-21,07:05:00,Avión 22,PDQ,NT537,27-12
13474,2021-03-21,17:02:00,Avión 19,,NT135,22-18
13481,2021-03-22,07:30:00,Avión 15,PDQ,NT106,28-21
13497,2021-03-22,14:36:00,Avión 2,PDQ,NT156,22-18
13551,2021-03-25,14:36:00,Avión 4,PDQ,,25-14
13552,2021-03-25,08:15:00,Avión 4,,NT501,80-00
13559,2021-03-25,16:48:00,Avión 5,FNC,NT912,61-21
13578,2021-03-26,16:38:00,Avión 23,PIQ,NT623,33-51
13573,2021-03-26,11:37:00,Avión 19,,NT537,52-11
13594,2021-03-27,13:01:00,Avión 21,PIQ,134,25-21
13605,2021-03-28,05:48:00,Avión 20,PIQ,414,25-65
13607,2021-03-28,10:14:00,Avión 14,,,32-42
13610,2021-03-28,12:20:00,Avión 17,FLW,657,05-51
13611,2021-03-28,12:00:00,Avión 24,,NT5430,80-00
13662,2021-03-30,15:41:00,Avión 1,PIQ,NT664,25-45
13676,2021-03-31,15:14:00,Avión 10,PIQ,NT471,05-51
13680,2021-03-31,16:12:00,Avión 1,PDQ,NT166,24-32
13679,2021-03-31,15:41:00,Avión 25,GRW,NT3591,24-00
13704,2021-04-02,13:04:00,Avión 10,PIQ,454,UNK
13699,2021-04-02,08:24:00,Avión 26,PIQ,PM418,34-58
13703,2021-04-02,12:52:00,Avión 10,HOR,455,05-51
13711,2021-04-03,09:51:00,Avión 25,PDQ,NT3051,24-00
13728,2021-04-04,06:00:00,Avión 4,PDQ,NT5211,72-00
13747,2021-04-05,06:58:00,Avión 15,PDQ,NT5431,05-20
13752,2021-04-05,09:54:00,Avión 25,,NT156,26-14
13776,2021-04-06,13:26:00,Avión 19,,NT663,52-42
13780,2021-04-07,06:21:00,Avión 23,FNC,NT930,24-46
13784,2021-04-07,07:38:00,Avión 9,PDQ,NT102,00-00
13805,2021-04-08,05:31:00,Avión 17,PDQ,NT154,12-14
13819,2021-04-09,08:00:00,Avión 23,SMA,NT309,24-32
13823,2021-04-09,13:05:00,Avión 4,PIQ,NT470R,24-31
13826,2021-04-09,14:15:00,Avión 18,,,00-00
13815,2021-04-09,06:48:00,Avión 27,PIQ,PM412,26-24
13830,2021-04-09,15:45:00,Avión 20,PIQ,NT167,05-50
13862,2021-04-11,18:30:00,Avión 28,PIQ,NT643,UNK
13909,2021-04-12,17:00:00,Avión 2,PDQ,NT125,80-00
13875,2021-04-12,06:00:00,Avión 12,,NT153,80-00
13878,2021-04-12,18:26:00,Avión 19,PDQ,,UNK
13884,2021-04-13,00:22:00,Avión 29,MAD,PM5001,30-31
13893,2021-04-13,14:20:00,Avión 7,PDQ,NT513,23-51
13910,2021-04-14,16:29:00,Avión 19,PIQ,NT169,61-21
13966,2021-04-16,13:35:00,Avión 19,,NT663,23-43
13990,2021-04-18,15:34:00,Avión 19,,NT169,00-00
14012,2021-04-19,06:00:00,Avión 4,,NT500,24-40
14016,2021-04-20,11:19:00,Avión 12,RMU,,32-49
14026,2021-04-20,20:55:00,Avión 24,PDQ,NT5601,36-00
14019,2021-04-20,16:33:00,Avión 25,FLW,NT366R,24-21
14052,2021-04-21,15:00:00,Avión 1,SMA,NT631,25-81
14058,2021-04-22,13:35:00,Avión 8,PDQ,,35-31
14077,2021-04-23,15:19:00,Avión 23,PIQ,NT421,25-21
14075,2021-04-23,13:12:00,Avión 14,PDQ,NT517,31-17
14074,2021-04-23,13:08:00,Avión 16,PDQ,NT147,24-32
14103,2021-04-25,06:56:00,Avión 10,PDQ,,24-32
14107,2021-04-25,13:07:00,Avión 28,PIQ,NT674,61-21
14133,2021-04-26,14:36:00,Avión 20,PDQ,,32-42
14135,2021-04-26,17:19:00,Avión 3,PDQ,,12-37
14159,2021-04-28,08:50:00,Avión 2,PIQ,659,52-11
14160,2021-04-28,09:05:00,Avión 8,PIQ,NT104,05-51
14179,2021-04-29,11:19:00,Avión 17,PIQ,NT623,23-43
14217,2021-05-01,07:30:00,Avión 15,,NT5600,12-11
14221,2021-05-01,14:48:00,Avión 9,PDQ,,12-11
14239,2021-05-02,12:49:00,Avión 30,PIQ,PM546,51-20
14269,2021-05-03,18:45:00,Avión 5,PDQ,NT186,25-21
14289,2021-05-04,13:17:00,Avión 7,PDQ,,25-65
14279,2021-05-04,08:41:00,Avión 23,,NT102,25-21
14303,2021-05-05,06:54:00,Avión 28,PDQ,,31-19
14318,2021-05-06,06:29:00,Avión 14,PIQ,NT414R,11-32
14356,2021-05-07,18:12:00,Avión 14,PIQ,NT637,35-31
14361,2021-05-08,05:45:00,Avión 10,PIQ,,34-12
14364,2021-05-08,07:33:00,Avión 4,PDQ,NT102,36-11
14388,2021-05-09,14:33:00,Avión 21,PDQ,NT160,61-51
14392,2021-05-09,15:50:00,Avión 2,,NT474,UNK
14384,2021-05-09,13:39:00,Avión 31,PIQ,NT166,34-55
14394,2021-05-10,06:06:00,Avión 16,PIQ,NT605,33-50
14423,2021-05-11,07:01:00,Avión 25,PDQ,NT503,79-00
14422,2021-05-11,07:52:00,Avión 19,PDQ,,23-00
14448,2021-05-12,13:22:00,Avión 24,PDQ,,36-14-00
14465,2021-05-13,13:37:00,Avión 7,PIQ,NT631,35-31
14468,2021-05-13,16:58:00,Avión 11,PDQ,NT173,25-65
14471,2021-05-13,17:05:00,Avión 20,GRW,NT652,05-51
14482,2021-05-14,11:49:00,Avión 31,PDQ,NT145,28-25
14491,2021-05-14,16:43:00,Avión 17,PDQ,,61-11
14473,2021-05-14,06:04:00,Avión 7,PDQ,,80-11
14483,2021-05-14,12:35:00,Avión 25,PDQ,,79-00
14489,2021-05-14,14:46:00,Avión 2,PIQ,NT135,52-11
14506,2021-05-15,10:11:00,Avión 24,PDQ,NT5601,27-00
14537,2021-05-16,17:01:00,Avión 2,PIQ,NT175,52-31
14561,2021-05-17,18:12:00,Avión 5,PDQ,NT312,23-51
14550,2021-05-17,07:37:00,Avión 11,SMA,,UNK
14547,2021-05-17,06:08:00,Avión 12,PDQ,,73-00
14569,2021-05-18,07:29:00,Avión 14,HOR,453,27-70
14584,2021-05-18,14:40:00,Avión 16,PDQ,NT511,33-51
14602,2021-05-19,11:10:00,Avión 6,,,25-25-00
14601,2021-05-19,10:14:00,Avión 24,VGO,5230,27-50-00
14611,2021-05-19,14:26:00,Avión 24,PDQ,,27-51
14640,2021-05-20,16:59:00,Avión 25,PIQ,NT167,73-23
14623,2021-05-20,06:43:00,Avión 12,PDQ,,73-00
14666,2021-05-21,12:13:00,Avión 16,HOR,NT516,72-00
14649,2021-05-21,06:51:00,Avión 10,PDQ,,21-31
14667,2021-05-21,13:19:00,Avión 25,PIQ,NT167,73-23
14686,2021-05-21,19:37:00,Avión 27,PDQ,,05-20
14653,2021-05-21,06:48:00,Avión 11,PDQ,NT236,10-20
14656,2021-05-21,07:28:00,Avión 31,,NT102,28-21
14674,2021-05-22,08:18:00,Avión 5,PDQ,,34-00
14718,2021-05-22,06:00:00,Avión 5,,NT500,UNK
14684,2021-05-22,16:59:00,Avión 19,PDQ,NT173,52-11
14698,2021-05-23,13:37:00,Avión 20,PDQ,NT365,35-31
14702,2021-05-23,14:15:00,Avión 9,PIQ,NT633,52-31
14706,2021-05-23,15:44:00,Avión 28,PIQ,NT673,52-11
14737,2021-05-24,18:21:00,Avión 3,PIQ,NT475,34-61
14714,2021-05-24,06:51:00,Avión 2,PDQ,,35-11
14730,2021-05-24,14:12:00,Avión 24,,NT5951,52-51
26298,2021-05-24,07:15:00,Avión 1,,,
14750,2021-05-25,06:37:00,Avión 13,FNC,,34-00
14752,2021-05-25,08:13:00,Avión 17,PIQ,NT453,24-31
14760,2021-05-25,14:25:00,Avión 28,PDQ,NT644,29-00
14781,2021-05-27,06:23:00,Avión 7,,NT318,24-46
14785,2021-05-27,11:14:00,Avión 9,PDQ,NT156,29-00
14782,2021-05-27,06:29:00,Avión 11,PIQ,NT471,34-25
14788,2021-05-27,13:04:00,Avión 5,HOR,517,34-00
14810,2021-05-28,15:41:00,Avión 17,,NT166,34-20
14811,2021-05-28,17:17:00,Avión 25,PIQ,NT637,52-31
14803,2021-05-28,05:45:00,Avión 11,PDQ,NT107,35-31
14814,2021-05-28,20:09:00,Avión 28,PDQ,NT204,20-45
14827,2021-05-29,13:08:00,Avión 1,PIQ,NT656,12-14
14849,2021-05-30,17:39:00,Avión 22,PDQ,,27-12
14846,2021-05-30,14:07:00,Avión 2,PDQ,,31-61
14844,2021-05-30,13:11:00,Avión 17,PDQ,NT120,35-00
14841,2021-05-30,06:31:00,Avión 1,PIQ,NT655,21-31
14864,2021-05-31,13:25:00,Avión 6,PDQ,,78-30
14877,2021-05-31,16:20:00,Avión 2,,NT224,52-31
14888,2021-06-01,15:49:00,Avión 5,PDQ,NT224,25-21
14902,2021-06-02,07:18:00,Avión 11,,NT604,30-30
14947,2021-06-03,14:48:00,Avión 5,PDQ,NT207,25-21
14966,2021-06-03,16:00:00,Avión 31,,NT913,80-00
14940,2021-06-03,12:33:00,Avión 4,PIQ,NT470,35-00
14942,2021-06-03,13:12:00,Avión 2,PDQ,NT188,35-00
14926,2021-06-03,07:12:00,Avión 31,FNC,,34-43
14964,2021-06-04,05:45:00,Avión 7,PIQ,,UNK
14992,2021-06-05,13:08:00,Avión 7,PIQ,NT420,42-11
15007,2021-06-06,09:23:00,Avión 28,PIQ,NT608,61-45
15006,2021-06-06,08:33:00,Avión 9,PDQ,NT119,28-21
15003,2021-06-06,05:58:00,Avión 5,PDQ,,52-42
15028,2021-06-07,08:45:00,Avión 2,PDQ,590,52-31
15026,2021-06-07,07:03:00,Avión 18,PIQ,NT487,22-00
15048,2021-06-08,07:41:00,Avión 1,PDQ,119,05-20
15076,2021-06-09,07:45:00,Avión 6,PDQ,NT106,28-00
15091,2021-06-09,17:12:00,Avión 18,PDQ,NT366,72-00
15206,2021-06-09,15:30:00,Avión 9,,,UNK
15079,2021-06-09,08:59:00,Avión 2,PIQ,659,52-31
15072,2021-06-09,06:27:00,Avión 1,PIQ,NT135,35-13
15099,2021-06-10,05:56:00,Avión 6,PIQ,NT5251,73-31
15125,2021-06-11,13:13:00,Avión 4,PDQ,,21-23
15126,2021-06-11,13:13:00,Avión 3,PIQ,NT145,36-11
15137,2021-06-12,07:12:00,Avión 8,PDQ,NT102,25-00
15160,2021-06-13,15:06:00,Avión 2,,NT471,31-60
15172,2021-06-14,08:14:00,Avión 8,PIQ,NT119,34-00
15171,2021-06-14,06:44:00,Avión 1,PIQ,607,23-50
15225,2021-06-15,13:00:00,Avión 2,PIQ,NT622,52-31
15210,2021-06-15,12:44:00,Avión 19,PDQ,214,25-65
15233,2021-06-16,10:15:00,Avión 2,PIQ,NT662,21-31
15239,2021-06-16,15:19:00,Avión 7,PDQ,,24-40
15265,2021-06-17,14:55:00,Avión 15,PDQ,,26-10
15285,2021-06-18,05:56:00,Avión 13,PDQ,NT207,23-31
15323,2021-06-19,12:50:00,Avión 20,PDQ,NT151,23-43
15351,2021-06-20,15:31:00,Avión 9,PIQ,NT421,25-21
15371,2021-06-21,13:15:00,Avión 7,PIQ,420,24-40
15358,2021-06-21,05:20:00,Avión 24,PDQ,,24-00
15380,2021-06-21,17:18:00,Avión 24,PIQ,NT5751,27-53
15453,2021-06-23,15:15:00,Avión 11,PIQ,,35-12
15632,2021-06-25,20:15:00,Avión 13,,NT235,31-00
15546,2021-06-25,20:01:00,Avión 4,PIQ,NT317,53-67
15535,2021-06-25,17:38:00,Avión 31,FNC,NT932,61-21
15569,2021-06-26,13:46:00,Avión 17,,,31-61
15576,2021-06-26,18:00:00,Avión 17,PDQ,NT227,32-61
15614,2021-06-27,15:00:00,Avión 2,PIQ,NT629,30-30
15591,2021-06-27,05:39:00,Avión 19,PDQ,155,00-00
15609,2021-06-27,13:37:00,Avión 22,PDQ,NT511,05-51
15610,2021-06-27,14:58:00,Avión 3,PDQ,NT158,61-21
15634,2021-06-27,12:50:00,Avión 23,,NT7001,UNK
15656,2021-06-28,15:36:00,Avión 31,PIQ,NT167,32-42
15677,2021-06-28,11:00:00,Avión 11,PDQ,NT516,12-11
15659,2021-06-28,17:43:00,Avión 31,,NT652,27-36
15657,2021-06-28,16:53:00,Avión 21,PDQ,NT523,25-27
15638,2021-06-28,10:55:00,Avión 8,PDQ,,25-30
15635,2021-06-28,07:49:00,Avión 24,PDQ,NT457,38-32
15673,2021-06-29,06:06:00,Avión 32,PIQ,153,28-00
15702,2021-06-29,18:26:00,Avión 31,PDQ,,12-11
15688,2021-06-29,12:37:00,Avión 7,PIQ,,24-47
15748,2021-06-30,16:11:00,Avión 22,PIQ,NT167,72-00
15725,2021-06-30,06:16:00,Avión 32,,,28-00
15749,2021-06-30,17:09:00,Avión 4,,NT523,25-00
15785,2021-07-01,13:28:00,Avión 24,PDQ,,12-14-05
15769,2021-07-01,06:03:00,Avión 20,,NT414,31-17
15793,2021-07-01,19:10:00,Avión 31,PDQ,NT525,25-21
15773,2021-07-01,08:25:00,Avión 17,,NT108,27-70
15775,2021-07-01,10:59:00,Avión 2,PIQ,NT127,45-00
15771,2021-07-01,07:22:00,Avión 6,PIQ,NT153,28-41-03
15777,2021-07-01,12:34:00,Avión 5,PDQ,NT207,32-42
15834,2021-07-02,17:00:00,Avión 1,PIQ,NT475,52-31
15904,2021-07-02,14:00:00,Avión 31,,NT631,UNK
15806,2021-07-02,04:39:00,Avión 1,PIQ,,25-56
15835,2021-07-02,18:00:00,Avión 1,PIQ,NT475,52-31
15815,2021-07-02,07:14:00,Avión 7,PIQ,492,80-00
15831,2021-07-02,14:19:00,Avión 22,PDQ,NT511,72-00
15867,2021-07-03,16:15:00,Avión 3,PIQ,NT169,21-51
15882,2021-07-04,07:44:00,Avión 12,PDQ,,73-31-00
15960,2021-07-04,19:00:00,Avión 19,,NT640,UNK
15912,2021-07-05,09:45:00,Avión 30,,PM418,52-31
15921,2021-07-05,12:48:00,Avión 9,,NT145,31-31
15936,2021-07-05,20:33:00,Avión 8,PDQ,NT204,52-00
15917,2021-07-05,11:59:00,Avión 1,PIQ,NT662,24-21
15959,2021-07-06,12:46:00,Avión 19,,,00-00
15973,2021-07-06,16:53:00,Avión 9,,NT170,25-21
16007,2021-07-07,13:34:00,Avión 4,PIQ,NT658,32-00
16010,2021-07-07,14:54:00,Avión 23,PDQ,NT108,53-00
16015,2021-07-07,18:06:00,Avión 9,PIQ,,61-40
16013,2021-07-07,17:06:00,Avión 20,PDQ,,28-00
16034,2021-07-08,06:36:00,Avión 8,PDQ,NT205,12-21
16064,2021-07-08,17:45:00,Avión 9,,NT525,25-21
16032,2021-07-08,05:41:00,Avión 28,PDQ,,24-46
16089,2021-07-09,10:49:00,Avión 28,PDQ,NT212,61-45
16079,2021-07-09,05:40:00,Avión 11,PIQ,,35-31
16091,2021-07-09,09:40:00,Avión 5,PDQ,NT510,25-64
16099,2021-07-09,13:01:00,Avión 16,PDQ,NT507,34-13
16105,2021-07-09,13:38:00,Avión 13,PIQ,NT622,25-28
16114,2021-07-09,20:25:00,Avión 20,PDQ,,20-45
16107,2021-07-09,14:19:00,Avión 22,PDQ,NT645,27-12
16130,2021-07-10,06:10:00,Avión 3,PIQ,NT485,29-00
16165,2021-07-11,12:39:00,Avión 1,PDQ,NT227,24-60
16157,2021-07-11,06:17:00,Avión 31,PDQ,,24-40
16160,2021-07-11,06:46:00,Avión 1,PDQ,NT102,76-13
16195,2021-07-12,07:36:00,Avión 28,,NT107,73-15
16189,2021-07-12,06:39:00,Avión 30,PDQ,,05-20
16193,2021-07-12,09:35:00,Avión 3,PIQ,NT612,34-11
16204,2021-07-12,13:17:00,Avión 16,,NT616,34-57
16199,2021-07-12,12:35:00,Avión 19,PDQ,NT213,80-00
16227,2021-07-13,05:50:00,Avión 21,PDQ,,25-65
16267,2021-07-14,12:22:00,Avión 20,PDQ,NT516,28-42
16261,2021-07-14,07:02:00,Avión 9,PIQ,NT636,61-21
16299,2021-07-15,05:47:00,Avión 31,PDQ,,00-00
16317,2021-07-15,12:55:00,Avión 14,PDQ,,00-00
16319,2021-07-15,12:56:00,Avión 2,PIQ,NT662,12-37
16326,2021-07-15,13:43:00,Avión 7,PIQ,,52-31
16304,2021-07-15,07:32:00,Avión 1,PDQ,,24-21
16328,2021-07-15,15:24:00,Avión 20,PDQ,,12-11
16344,2021-07-16,02:31:00,Avión 5,PIQ,NT425,73-23
16373,2021-07-16,19:45:00,Avión 20,PDQ,,12-11
16364,2021-07-16,16:30:00,Avión 2,PIQ,NT634,36-11
16366,2021-07-16,14:00:00,Avión 14,PIQ,NT455,25-10
16395,2021-07-17,11:10:00,Avión 14,PIQ,,52-20
16406,2021-07-17,14:57:00,Avión 1,PDQ,NT150,45-00
17230,2021-07-17,14:00:00,Avión 15,PIQ,NT5251,49-62
16469,2021-07-18,17:56:00,Avión 9,PIQ,NT179,61-51
16445,2021-07-18,12:23:00,Avión 7,,NT207,52-00
16431,2021-07-18,05:56:00,Avión 31,PDQ,NT153,72-00
16455,2021-07-18,14:00:00,Avión 14,PDQ,,32-41
16466,2021-07-18,18:05:00,Avión 1,PIQ,NT427,32-42
16468,2021-07-18,18:00:00,Avión 10,PDQ,NT549,12-13
16443,2021-07-18,11:42:00,Avión 23,PDQ,NT513,36-11
16444,2021-07-18,11:59:00,Avión 5,PIQ,NT497,33-51
16462,2021-07-18,15:40:00,Avión 2,PDQ,NT106,61-21
16435,2021-07-18,06:55:00,Avión 15,PIQ,5550,29-11
16437,2021-07-18,07:11:00,Avión 2,PDQ,NT106,61-51
16463,2021-07-18,16:17:00,Avión 19,,NT630,22-18
18414,2021-07-18,17:40:00,Avión 20,,NT228,12-11
18416,2021-07-18,19:40:00,Avión 18,,NT538,UNK
16485,2021-07-19,07:09:00,Avión 23,PDQ,NT513,21-51
16499,2021-07-19,15:07:00,Avión 1,PIQ,,23-00
16489,2021-07-19,12:57:00,Avión 6,PDQ,NT6821,27-00
16490,2021-07-19,13:02:00,Avión 18,,NT316,61-00
16484,2021-07-19,06:54:00,Avión 2,PDQ,,36-11
16496,2021-07-19,13:29:00,Avión 23,PDQ,NT151,52-31
16497,2021-07-19,14:30:00,Avión 10,PIQ,NT466,24-32
16528,2021-07-20,12:37:00,Avión 11,PIQ,,UNK
16537,2021-07-20,14:07:00,Avión 9,PIQ,,UNK
16526,2021-07-20,09:41:00,Avión 10,PIQ,NT453,24-32
16529,2021-07-20,13:07:00,Avión 28,PIQ,NT658,27-23
16577,2021-07-21,14:34:00,Avión 11,PIQ,NT455,20-21
16578,2021-07-21,14:39:00,Avión 19,PIQ,NT419,20-21
16585,2021-07-21,20:00:00,Avión 10,PDQ,NT188,33-49
16586,2021-07-21,20:32:00,Avión 4,,NT531,33-48
16625,2021-07-22,15:45:00,Avión 13,,NT519,25-00
16659,2021-07-23,14:32:00,Avión 20,PIQ,,28-43
16660,2021-07-23,15:40:00,Avión 16,PIQ,NT455,33-48
16663,2021-07-23,18:03:00,Avión 1,PDQ,NT533,25-21
16651,2021-07-23,12:00:00,Avión 20,PIQ,NT621,12-11
16652,2021-07-23,13:38:00,Avión 10,PDQ,NT222,35-31
16643,2021-07-23,09:36:00,Avión 6,PDQ,,24-00
16637,2021-07-23,06:28:00,Avión 17,PIQ,NT655,72-00
16653,2021-07-23,13:37:00,Avión 11,PIQ,NT663,35-31
16636,2021-07-23,06:01:00,Avión 32,PDQ,,23-51
16690,2021-07-24,14:33:00,Avión 19,PIQ,NT135,20-21
16680,2021-07-24,10:51:00,Avión 4,PIQ,NT659,21-23
16694,2021-07-24,18:44:00,Avión 20,PDQ,,12-28
16732,2021-07-25,17:36:00,Avión 11,PIQ,,35-31
16731,2021-07-25,15:56:00,Avión 31,PDQ,NT108,28-43
16722,2021-07-25,13:31:00,Avión 31,SMA,,12-28
16723,2021-07-25,13:53:00,Avión 5,PIQ,NT497,26-12
16726,2021-07-25,14:52:00,Avión 2,PDQ,NT511,21-61
16716,2021-07-25,09:09:00,Avión 31,PDQ,NT108,28-42
16770,2021-07-26,20:27:00,Avión 6,PDQ,6605,32-40
16754,2021-07-26,10:44:00,Avión 3,PDQ,NT211,20-45
16763,2021-07-26,14:41:00,Avión 14,PDQ,NT221,22-16
17052,2021-07-26,14:00:00,Avión 31,,NT222,UNK
17053,2021-07-26,13:20:00,Avión 2,,NT303,05-20
16746,2021-07-26,05:49:00,Avión 31,PDQ,NT108,28-42
16747,2021-07-26,05:43:00,Avión 14,PDQ,NT155,52-31
16765,2021-07-26,17:43:00,Avión 25,PDQ,NT219,23-51
16814,2021-07-27,17:11:00,Avión 10,,NT530,33-00
16831,2021-07-28,07:06:00,Avión 16,PIQ,,52-31
16833,2021-07-28,08:59:00,Avión 16,PIQ,,52-31
16876,2021-07-29,11:36:00,Avión 31,PIQ,,12-11
16894,2021-07-29,15:38:00,Avión 31,,,12-11
16873,2021-07-29,10:12:00,Avión 4,PDQ,,23-51
16898,2021-07-29,19:54:00,Avión 3,PDQ,NT188,21-11
16872,2021-07-29,08:30:00,Avión 10,PDQ,NT521,33-49
16936,2021-07-30,13:48:00,Avión 11,PIQ,,35-31
16939,2021-07-30,15:26:00,Avión 2,PIQ,NT620,61-21
16945,2021-07-30,18:22:00,Avión 28,,NT674,52-31
16946,2021-07-30,18:59:00,Avión 10,PDQ,,25-40
16949,2021-07-30,20:20:00,Avión 4,PDQ,,42-11
16956,2021-07-30,21:39:00,Avión 10,PDQ,NT190,12-16
16940,2021-07-30,15:24:00,Avión 31,,,28-43
16943,2021-07-30,16:44:00,Avión 25,PDQ,NT154,12-13
